prompt,label
"LEFT id: 92
RIGHT id: 184

LEFT phone: 404/351 -9533
RIGHT phone: 404-237-7601

LEFT category: french 92
RIGHT category: NA

LEFT title: toulouse
RIGHT title: NA

LEFT address: b peachtree rd. atlanta
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 3172 peachtree rd. ne

LEFT city: NA
RIGHT city: atlanta

LEFT class: NA
RIGHT class: 719

LEFT type: NA
RIGHT type: diners
",n
"LEFT id: 256
RIGHT id: 89

LEFT phone: 212/245 -5336
RIGHT phone: 212-752-1495

LEFT category: american 254
RIGHT category: NA

LEFT title: gallagher \ s
RIGHT title: NA

LEFT address: 228 w. 52nd st. new york
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 3 e. 52nd st.

LEFT city: NA
RIGHT city: new york city

LEFT class: NA
RIGHT class: 623

LEFT type: NA
RIGHT type: ` french ( classic ) '
",n
"LEFT id: 436
RIGHT id: 223

LEFT phone: 702/386 -2512
RIGHT phone: 310-392-9025

LEFT category: american 436
RIGHT category: NA

LEFT title: center stage plaza hotel
RIGHT title: NA

LEFT address: 1 main st. las vegas
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 2709 main st.

LEFT city: NA
RIGHT city: santa monica

LEFT class: NA
RIGHT class: 5

LEFT type: NA
RIGHT type: ` pacific new wave '
",n
"LEFT id: 415
RIGHT id: 161

LEFT phone: 404/325 -5285
RIGHT phone: 404-636-4094

LEFT category: asian 415
RIGHT category: NA

LEFT title: sa tsu ki
RIGHT title: NA

LEFT address: 3043 buford hwy . atlanta
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 2905 buford hwy .

LEFT city: NA
RIGHT city: atlanta

LEFT class: NA
RIGHT class: 695

LEFT type: NA
RIGHT type: cuban
",n
"LEFT id: 18
RIGHT id: 46

LEFT phone: 818/990 -0500
RIGHT phone: 818-906-8881

LEFT category: french 18
RIGHT category: NA

LEFT title: pinot bistro
RIGHT title: NA

LEFT address: 12969 ventura blvd. los angeles
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 17040 ventura blvd.

LEFT city: NA
RIGHT city: encino

LEFT class: NA
RIGHT class: 580

LEFT type: NA
RIGHT type: pizza
",n
"LEFT id: 221
RIGHT id: 277

LEFT phone: 212/333 -7788
RIGHT phone: 212-980-9393

LEFT category: american 219
RIGHT category: NA

LEFT title: china grill
RIGHT title: NA

LEFT address: 60 w. 53rd st. new york
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 11 e. 53rd st.

LEFT city: NA
RIGHT city: new york city

LEFT class: NA
RIGHT class: 59

LEFT type: NA
RIGHT type: japanese
",n
"LEFT id: 43
RIGHT id: 257

LEFT phone: 212/339 -6719
RIGHT phone: 212-586-4252

LEFT category: american 43
RIGHT category: NA

LEFT title: lespinasse
RIGHT title: NA

LEFT address: 2 e. 55th st. new york
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 33 w. 55th st.

LEFT city: NA
RIGHT city: new york city

LEFT class: NA
RIGHT class: 39

LEFT type: NA
RIGHT type: ` french ( classic ) '
",n
"LEFT id: 356
RIGHT id: 93

LEFT phone: 212/956 -6888
RIGHT phone: 212-247-1585

LEFT category: asian 356
RIGHT category: NA

LEFT title: tang pavillion
RIGHT title: NA

LEFT address: 65 w. 55th st. new york
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 39 w. 55th st.

LEFT city: NA
RIGHT city: new york city

LEFT class: NA
RIGHT class: 627

LEFT type: NA
RIGHT type: japanese
",n
"LEFT id: 24
RIGHT id: 268

LEFT phone: 212/307 -7311
RIGHT phone: 212-759-5941

LEFT category: continental 24
RIGHT category: NA

LEFT title: aquavit
RIGHT title: NA

LEFT address: 13 w. 54th st. new york
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 55 e. 54th st.

LEFT city: NA
RIGHT city: new york city

LEFT class: NA
RIGHT class: 50

LEFT type: NA
RIGHT type: seafood
",n
"LEFT id: 379
RIGHT id: 156

LEFT phone: 404/876 -8532
RIGHT phone: 404-888-9149

LEFT category: international 379
RIGHT category: NA

LEFT title: abbey
RIGHT title: NA

LEFT address: 163 ponce de leon ave. atlanta
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 600 ponce de leon ave.

LEFT city: NA
RIGHT city: atlanta

LEFT class: NA
RIGHT class: 690

LEFT type: NA
RIGHT type: italian
",n
"LEFT id: 241
RIGHT id: 268

LEFT phone: 212/758 -5757
RIGHT phone: 212-759-5941

LEFT category: american 239
RIGHT category: NA

LEFT title: fifty seven fifty seven
RIGHT title: NA

LEFT address: 57 e. 57th st. new york
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 55 e. 54th st.

LEFT city: NA
RIGHT city: new york city

LEFT class: NA
RIGHT class: 50

LEFT type: NA
RIGHT type: seafood
",n
"LEFT id: 473
RIGHT id: 204

LEFT phone: 415/292 -0101
RIGHT phone: 415-387-2244

LEFT category: american 473
RIGHT category: NA

LEFT title: grand cafe hotel monaco
RIGHT title: NA

LEFT address: 501 geary st. san francisco
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 3355 geary st.

LEFT city: NA
RIGHT city: san francisco

LEFT class: NA
RIGHT class: 739

LEFT type: NA
RIGHT type: hamburgers
",n
"LEFT id: 398
RIGHT id: 152

LEFT phone: 404/255 -7277
RIGHT phone: 770-933-0909

LEFT category: southern 398
RIGHT category: NA

LEFT title: horseradish grill
RIGHT title: NA

LEFT address: 4320 powers ferry rd. atlanta
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 1215 powers ferry rd.

LEFT city: NA
RIGHT city: marietta

LEFT class: NA
RIGHT class: 686

LEFT type: NA
RIGHT type: hamburgers
",n
"LEFT id: 405
RIGHT id: 174

LEFT phone: 404/355 -5993
RIGHT phone: 404-237-4116

LEFT category: continental 405
RIGHT category: NA

LEFT title: luna si
RIGHT title: NA

LEFT address: 1931 peachtree rd. atlanta
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 4330 peachtree rd.

LEFT city: NA
RIGHT city: atlanta

LEFT class: NA
RIGHT class: 708

LEFT type: NA
RIGHT type: american
",n
"LEFT id: 197
RIGHT id: 260

LEFT phone: 212/688 -4190
RIGHT phone: 212-484-5113

LEFT category: italian 195
RIGHT category: NA

LEFT title: bruno
RIGHT title: NA

LEFT address: 240 e. 58th st. new york
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 155 w. 58th st.

LEFT city: NA
RIGHT city: new york city

LEFT class: NA
RIGHT class: 42

LEFT type: NA
RIGHT type: ` french ( classic ) '
",n
"LEFT id: 135
RIGHT id: 45

LEFT phone: 310/724 -5959
RIGHT phone: 213-935-5280

LEFT category: californian 132
RIGHT category: NA

LEFT title: eclipse
RIGHT title: NA

LEFT address: 8800 melrose ave. los angeles
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 7261 melrose ave.

LEFT city: NA
RIGHT city: la

LEFT class: NA
RIGHT class: 579

LEFT type: NA
RIGHT type: hamburgers
",n
"LEFT id: 156
RIGHT id: 122

LEFT phone: 213/483 -6000
RIGHT phone: 702-385-5016

LEFT category: american 153
RIGHT category: NA

LEFT title: pacific dining car
RIGHT title: NA

LEFT address: 6th st. los angeles
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 401 s. 6th st.

LEFT city: NA
RIGHT city: las vegas

LEFT class: NA
RIGHT class: 656

LEFT type: NA
RIGHT type: ` french ( classic ) '
",n
"LEFT id: 55
RIGHT id: 273

LEFT phone: 212/632 -5000
RIGHT phone: 212-632-5000

LEFT category: ` or 212/632 -5100 american ' 55
RIGHT category: NA

LEFT title: rainbow room
RIGHT title: NA

LEFT address: 30 rockefeller plaza new york
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 30 rockefeller plaza

LEFT city: NA
RIGHT city: new york city

LEFT class: NA
RIGHT class: 55

LEFT type: NA
RIGHT type: ` american ( new ) '
",y
"LEFT id: 97
RIGHT id: 315

LEFT phone: 415/392 -3505
RIGHT phone: 415-392-3505

LEFT category: french 97
RIGHT category: NA

LEFT title: cafe claude
RIGHT title: NA

LEFT address: 7 claude la . san francisco
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 7 claude ln .

LEFT city: NA
RIGHT city: san francisco

LEFT class: NA
RIGHT class: 97

LEFT type: NA
RIGHT type: ` french bistro '
",y
"LEFT id: 452
RIGHT id: 134

LEFT phone: 702/794 -0700
RIGHT phone: 702-792-9900

LEFT category: ` steak houses ' 452
RIGHT category: NA

LEFT title: yolie \ s
RIGHT title: NA

LEFT address: 3900 paradise rd. las vegas
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 3925 paradise rd.

LEFT city: NA
RIGHT city: las vegas

LEFT class: NA
RIGHT class: 668

LEFT type: NA
RIGHT type: italian
",n
"LEFT id: 83
RIGHT id: 104

LEFT phone: 404/876 -4408
RIGHT phone: 212-533-5011

LEFT category: asian 83
RIGHT category: NA

LEFT title: heera of india
RIGHT title: NA

LEFT address: 595 piedmont ave. rio shopping mall atlanta
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 308 e. sixth st.

LEFT city: NA
RIGHT city: new york city

LEFT class: NA
RIGHT class: 638

LEFT type: NA
RIGHT type: indian
",n
"LEFT id: 490
RIGHT id: 189

LEFT phone: 415/982 -1124
RIGHT phone: 415-433-9623

LEFT category: italian 490
RIGHT category: NA

LEFT title: l \  osteria del forno
RIGHT title: NA

LEFT address: 519 columbus ave. san francisco
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 240 columbus ave.

LEFT city: NA
RIGHT city: san francisco

LEFT class: NA
RIGHT class: 724

LEFT type: NA
RIGHT type: mexican
",n
"LEFT id: 427
RIGHT id: 132

LEFT phone: 702/735 -4663
RIGHT phone: 702-791-7352

LEFT category: italian 427
RIGHT category: NA

LEFT title: bertolini \ s
RIGHT title: NA

LEFT address: 3570 las vegas blvd. s las vegas
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 3400 las vegas blvd. s.

LEFT city: NA
RIGHT city: las vegas

LEFT class: NA
RIGHT class: 666

LEFT type: NA
RIGHT type: chinese
",n
